Number,Full Name,Google Scholar,Scopus,Subject
253,Держко Олег Володимирович,21,17,фізика та математика - Condensed Matter Physics & Semiconductors
254,Загородній Анатолій Григорович,21,-,економіка - Finance
255,Іванова Тетяна Володимирівна,21,-,педагогіка - Education
256,Карнаухов Василь Гаврилович,21,9,фізика та математика - Mathematical Physics
257,Кашпаров Валерій Олександрович,21,17,науки про життя - Ecology
258,Кіндзерський Юрій Вікторович,21,-,економіка - Development Economics
259,Коваленко Володимир Миколайович,21,-,медицина - Cardiology
260,Ковальська Владислава Борисівна,21,15,науки про життя - Organic Chemistry
261,Кузьмін Олег Євгенович,21,-,економіка - Strategic Management
262,Куссуль Ернст Михайлович,21,10,інформатика - Artificial Intelligence
263,Левицький Анатолій Павлович,21,-,науки про життя - Biotechnology
264,Міщенко Світлана Володимирівна,21,-,економіка - Finance
265,Монарха Юрій Петрович,21,14,фізика та математика - Condensed Matter Physics & Semiconductors
266,Омелян Ігор Петрович,21,16,фізика та математика - Physics & Mathematics
267,Підстригач Ярослав Степанович (1928-1990),21,4,фізика та математика - Mathematical Physics
268,Пузій Олександр Михайлович,21,18,хімія - Inorganic Chemistry
269,Соболь Олег Валентинович,21,16,фізика та математика - Materials Engineering
270,Тацій Василь Якович,21,-,суспільні науки - Criminology| Criminal Law & Policing
271,Третяк Антон Миколайович,21,-,економіка - Sustainable Development
272,Філіппов Олександр Ельвінович,21,17,фізика та математика - Biophysics
273,Чугунов Ігор Якович,21,-,економіка - Finance
274,Шеляг-Сосонко Юрій Романович,21,-,науки про життя - Botany
275,Яценко Тамара Семенівна,21,-,педагогіка - Educational Psychology & Counseling
276,Азарєнков Микола Олексійович,20,13,фізика та математика - Nanotechnology
277,Ахієзер Наум Ілліч (1901-1980),20,2,фізика та математика - Mathematical Analysis
278,Бельгейзімер Ян Юхимович,20,14,фізика та математика - Material Sciences
279,Бєляєв Олександр Євгенович,20,14,фізика та математика - Condensed Matter Physics & Semiconductors
280,Веклич Оксана Опанасівна,20,-,економіка - Sustainable Development
281,Висоцький Георгій Миколайович (1865-1940),20,-,аграрні науки - Forests & Forestry
282,Волков Сергій Васильович (1935-2016),20,14,хімія - Inorganic Chemistry
283,Глінка Юрій Дмитрович,20,16,фізика та математика - Optics & Photonics
284,Гогоці Георгій Антонович,20,16,технічні науки - Materials Engineering
285,Денисенко Ігор Борисович,20,17,фізика та математика - Plasma & Fusion
286,Дорогунцов Сергій Іванович,20,-,економіка - Sustainable Development
287,Дорошенко Андрій Олегович,20,16,хімія - Organic Chemistry
288,Дрозд Юрій Анатолійович,20,8,фізика та математика - Algebra
289,Зайцев Володимир Миколайович,20,14,хімія - Analytical Chemistry
290,Злобін Юліан Андрійович,20,-,науки про життя - Botany
291,Золотарюк Ярослав Олександрович,20,15,фізика та математика - Nonlinear Science
292,Кадець Володимир Михайлович,20,11,фізика та математика - Mathematical Analysis
293,Казакова Надія Феліксівна,20,-,інформатика - Computer Networks & Wireless Communication
294,Калашников Вячеслав Віталійович,20,8,фізика та математика - Mathematical Optimization
295,Качковський Олексій Дмитрович,20,22,хімія - Organic Chemistry
296,Кондратюк Сергій Якович,20,6,науки про життя - Botany
297,Кукуш Олександр Георгійович,20,12,фізика та математика - Probability & Statistics with Applications
298,Кущ Володимир Іванович,20,14,фізика та математика - Materials Engineering
299,Лукін Костянтин Олександрович,20,10,фізика та математика - Condensed Matter Physics & Semiconductors
300,Львов Віктор Анатолійович,20,16,фізика та математика - Material Sciences
301,Мамуня Євген Петрович,20,17,хімія - Polymers & Plastics
302,Мельник Тарас Анатолійович,20,9,фізика та математика - Mathematical Physics
303,Назаров Олексій Миколайович,20,12,фізика та математика - Nanotechnology
304,Нижник Ніна Романівна,20,-,суспільні науки - Public Policy & Administration
305,Оніщук Юрій Миколайович,20,10,фізика та математика - High Energy & Nuclear Physics
306,Павленко Яків Володимирович,20,19,фізика та математика - Astronomy & Astrophysics
307,Панов Микола Іванович,20,-,суспільні науки - Criminology| Criminal Law & Policing
308,Почепцов Георгій Георгійович,20,-,суспільні науки - Communication
309,Пушкар Михайло Семенович,20,-,економіка - Accounting & Taxation
310,Рагуля Андрій Володимирович,20,12,технічні науки - Nanotechnology
311,Райчев Олег Едуардович,20,18,фізика та математика - Condensed Matter Physics & Semiconductors
312,Риндич Алла Володимирівна,20,15,науки про життя - Genetics & Genomics
313,Розенбуш Віра Калениківна,20,15,фізика та математика - Astronomy & Astrophysics
314,Ситник Костянтин Меркурійович,20,7,науки про життя - Physiology
315,Сіренко Юрій Костянтинович,20,10,фізика та математика - Mathematical Physics
316,Скришевський Валерій Антонович,20,14,фізика та математика - Nanotechnology
317,Станіславський Олександр Олександрович,20,12,фізика та математика - Astronomy & Astrophysics
318,Стасюк Ігор Васильович,20,16,фізика та математика - Condensed Matter Physics & Semiconductors
319,Тараненко Віктор Борисович,20,16,фізика та математика - Optics & Photonics
320,Терещенко Олег Олександрович,20,-,економіка - Finance
321,Тимоха Олександр Миколайович,20,14,фізика та математика - Mathematical Physics
322,Титаренко Тетяна Михайлівна,20,-,суспільні науки - Social Psychology
323,Ткачук Володимир Михайлович,20,14,фізика та математика - Quantum Mechanics
324,Тукало Михайло Арсентійович,20,19,науки про життя - Molecular Biology
325,Фоміна Марина Олександрівна,20,17,науки про життя - Microbiology
326,Хоменко Олексій Віталійович,20,16,фізика та математика - Condensed Matter Physics & Semiconductors
327,Шаповал Володимир Миколайович,20,-,суспільні науки - Law
328,Яновський Фелікс Йосипович,20,7,інформатика - Signal Processing
329,Баришніков Гліб Володимирович,19,16,хімія - Materials Engineering
330,Богдан (Вахненко) Тетяна Петрівна,19,-,економіка - Finance
331,Богуш Алла Михайлівна,19,-,педагогіка - Early Childhood Education
332,Брик Тарас Михайлович,19,16,фізика та математика - Condensed Matter Physics & Semiconductors
333,Булатова Марія Михайлівна,19,-,педагогіка - Physical Education & Sports Medicine
334,Буркинський Борис Володимирович,19,-,економіка - Economics
335,Вишневський Валентин Павлович,19,-,економіка - Finance
336,Вітлінський Вальдемар Володимирович,19,-,економіка - Game Theory and Decision Science
337,Войтенко Нана Володимирівна,19,18,науки про життя - Physiology
338,Гринів Ростислав Олегович,19,12,фізика та математика - Mathematical Analysis
339,Денисенко Микола Павлович,19,-,економіка - Entrepreneurship & Innovation
340,Денисов Віталій Юрійович,19,15,фізика та математика - High Energy & Nuclear Physics
341,Донченко Олена Андріївна,19,-,суспільні науки - Social Psychology
342,Дубінко Володимир Іванович,19,11,фізика та математика - Material Sciences
343,Ємець Олег Олексійович,19,3,фізика та математика - Mathematical Optimization
344,Жук Валерій Миколайович,19,-,економіка - Accounting & Taxation
345,Жук Юрій Олексійович,19,-,педагогіка - Education
346,Загінайченко Світлана Юріївна,19,8,технічні науки - Materials Engineering
348,Карамушка Людмила Миколаївна,19,-,суспільні науки - Psychology
349,Кондратенко Валерій Володимирович,19,14,фізика та математика - Condensed Matter Physics & Semiconductors
350,Кочелап Вячеслав Олександрович,19,16,фізика та математика - Condensed Matter Physics & Semiconductors
351,Ланде Дмитро Володимирович,19,2,інформатика - Computing Systems
352,Ларін Володимир Борисович,19,14,технічні науки - Material Sciences
353,Литвин Петро Мар’янович,19,11,фізика та математика - Condensed Matter Physics & Semiconductors
354,Логановський Костянтин Миколайович,19,8,медицина - Nuclear Medicine| Radiotherapy & Molecular Imaging
355,Малік Микола Йосипович,19,-,економіка - Strategic Management
356,Малютенко Володимир Костянтинович,19,15,фізика та математика - Condensed Matter Physics & Semiconductors
357,Міхлін Юрій Володимирович,19,12,фізика та математика - Nonlinear Science
358,Мойбенко Олексій Олексійович,19,9,науки про життя - Physiology
359,Москаленко Віталій Федорович,19,-,медицина - Public Health
360,Найдюк Юрій Георгійович,19,17,фізика та математика - Condensed Matter Physics & Semiconductors
361,Пашкевич Юрій Георгійович,19,13,фізика та математика - Condensed Matter Physics & Semiconductors
362,Попович Мирослав Володимирович,19,-,суспільні науки - Philosophy
363,Протасов Ігор Володимирович,19,8,фізика та математика - Algebra
364,Пуд Олександр Аркадійович,19,16,хімія - Polymers & Plastics
365,Радченко Олександр Григорович,19,10,науки про життя - Insects & Arthropods
366,Рачковський Дмитро Андрійович,19,7,інформатика - Artificial Intelligence
